angaben_eisKaltId,angabenId,eisKalt
2,20282,1
3,20283,1
4,20286,1
5,20288,1
6,20290,1
7,20290,1
8,20291,1
9,20291,1
10,20292,1
11,20293,1
12,20294,1
13,20324,1
14,20378,1
15,20379,1
16,20380,1
17,20381,1
18,20382,1
19,20383,1
20,20384,1
21,20386,1
22,20387,1
23,20388,1
24,20389,1
25,20390,1
26,20391,1
27,20392,1
28,20393,1
29,20394,1
30,20395,1
31,20396,1
32,20397,1
33,20398,1
34,20399,1
35,20400,1
36,20401,1
37,20402,1
38,28440,1
39,28441,1
40,28442,1
41,28443,1
42,28444,1
43,29035,1
44,29036,1
45,29037,1
46,29039,1
47,30324,1
48,30325,1
49,30331,1
50,30332,1
51,30340,1
52,30341,1
53,30343,1
54,34845,1
55,34846,1
56,34847,1
57,34848,1
58,34850,1
59,34851,1
60,34852,1
61,35120,1
62,35121,1
63,38524,1
64,38525,1
65,38526,1
66,38527,1
67,38528,1
68,38529,1
69,38530,1
70,38531,1
71,38532,1
72,38533,1
73,38534,1
74,38550,1
75,38551,1
76,38621,1
77,39720,1
78,39721,1
79,39722,1
80,39723,1
81,39724,1
82,39725,1
83,50741,1
84,50742,1
85,50743,1
86,50744,1
87,50745,1
88,50746,1
89,50747,1
90,51714,1
91,51715,1
92,51716,1
93,51719,1
94,51720,1
95,51721,1
96,51722,1
97,51723,1
98,51724,1
99,51725,1
100,51726,1
101,51727,1
102,51728,1
103,51729,1
104,51730,1
105,51731,1
106,51732,1
107,51733,1
108,51734,1
109,51735,1
110,51736,1
111,51737,1
112,51738,1
113,51739,1
114,51740,1
115,51741,1
116,51742,1
117,51743,1
118,51744,1
119,51745,1
120,51746,1
121,51747,1
122,51748,1
123,51749,1
124,51750,1
125,51751,1
126,51752,1
127,51753,1
128,51754,1
129,51755,1
130,51756,1
131,51757,1
132,51758,1
133,51759,1
134,51760,1
135,51761,1
136,51762,1
137,51763,1
138,51764,1
139,51765,1
140,54502,1
141,54507,1
142,54508,1
143,54512,1
144,54513,1
145,55476,1
146,55477,1
147,55478,1
148,55479,1
149,55763,1
150,55764,1
151,55765,1
152,55766,1
153,55767,1
154,55768,1
155,55769,1
156,55770,1
157,55771,1
158,56001,1
159,56002,1
160,56003,1
161,56005,1
162,56014,1
163,56015,1
164,56016,1
165,56025,1
166,56030,1
167,56205,1
168,56207,1
169,56208,1
170,56210,1
171,56211,1
172,56212,1
173,56213,1
174,56214,1
175,56215,1
176,56216,1
177,56217,1
178,56218,1
179,56441,1
180,56442,1
181,56445,1
182,56446,1
183,56447,1
184,56448,1
185,56449,1
186,56460,1
187,56461,1
188,56462,1
189,56463,1
190,56465,1
191,56467,1
192,56496,1
193,56497,1
194,56577,1
195,56609,1
196,58020,1
197,58021,1
198,58024,1
199,58025,1
200,58026,1
201,58027,1
202,58028,1
203,58056,1
204,59072,1
205,59073,1
206,59074,1
207,59080,1
208,59081,1
209,59082,1
210,60348,1
211,60349,1
212,60350,1
213,60351,1
214,60716,1
215,60717,1
216,60718,1
217,60732,1
218,60733,1
219,60734,1
220,60735,1
222,63962,1
223,64171,1
224,64172,1
225,64230,1
226,64231,1
296,77547,1
228,64232,1
229,64233,1
230,64234,1
231,64235,1
232,64236,1
233,64237,1
234,64473,1
235,64474,1
236,64517,1
237,64518,1
238,64519,1
239,64520,1
240,64521,1
241,64522,1
242,64523,1
243,64531,1
244,64532,1
245,64533,1
246,64534,1
247,64535,1
248,64540,1
249,64541,1
250,64557,1
251,64558,1
252,64559,1
253,64663,1
254,64664,1
255,64665,1
256,64673,1
257,64674,1
258,64675,1
259,64861,1
260,64862,1
261,64863,1
262,64864,1
263,64865,1
264,64866,1
265,64867,1
266,64868,1
267,64869,1
268,64872,1
269,64880,1
270,64882,1
271,64883,1
272,64884,1
273,64886,1
274,64888,1
275,64890,1
276,64892,1
277,64893,1
278,64894,1
279,64895,1
280,64897,1
281,64899,1
282,64900,1
283,64901,1
284,64903,1
285,64904,1
286,64906,1
287,64907,1
288,64908,1
289,64910,1
290,64912,1
292,64920,1
293,27856,1
297,77548,1
298,77550,1
299,77551,1
300,78786,1
301,78787,1
302,78789,1
303,78790,1
304,79104,1
305,79357,1
306,83039,1
307,83040,1
308,83041,1
309,78788,1
310,55807,1
311,55808,1
312,55809,1
