fahrzeugId,zurueck
22966,1
20932,1
23105,1
23228,1
23314,1
23380,1
23402,1
23414,1
24433,1
24872,1
62925,1
25146,1
25379,1
25436,1
25455,1
25802,1
26903,1
26913,1
27131,1
27208,1
27650,1
27658,1
27702,1
27728,1
27729,1
8,1
1704,1
620,1
27962,1
1082,1
1144,1
28203,1
28209,1
1549,1
1665,1
1666,1
1705,1
2070,1
2076,1
2127,1
2177,1
2453,1
4372,1
19082,1
19102,1
29331,1
29398,1
29731,1
29888,1
30048,1
30135,1
30168,1
20050,1
20310,1
30621,1
21446,1
5658,1
31549,1
32021,1
6338,1
32681,1
32771,1
33145,1
33414,1
33446,1
33473,1
34886,1
8571,1
35672,1
36363,1
36511,1
37075,1
37451,1
10147,1
39110,1
39122,1
39174,1
39383,1
39430,1
39431,1
39751,1
39852,1
40442,1
40536,1
40583,1
40767,1
40932,1
41110,1
41124,1
41340,1
41363,1
41625,1
41626,1
41641,1
41761,1
41908,1
41914,1
42033,1
42328,1
42680,1
42707,1
43428,1
44446,1
45134,1
45137,1
46023,1
46052,1
46774,1
50579,1
50581,1
51030,1
51255,1
52280,1
52343,1
52911,1
54017,1
54206,1
58855,1
60258,1
60804,1
60891,1
61082,1
61214,1
61280,1
61377,1
61628,1
61629,1
61640,1
61650,1
61768,1
61790,1
61871,1
62042,1
62109,1
22630,1
32336,1
8298,1
9225,1
9710,1
10894,1
10907,1
10930,1
10936,1
11004,1
11058,1
68129,1
68258,1
68259,1
29299,1
74960,1
75667,1
75854,1
10450,1
10487,1
10674,1
11158,1
11241,1
14095,1
14139,1
14156,1
14317,1
14376,1
14523,1
14580,1
14753,1
14911,1
15150,1
15366,1
15635,1
16703,1
18156,1
18220,1
18250,1
18366,1
18591,1
11885,1
12865,1
12918,1
17121,1
18745,1
19616,1
80004,1
16016,1
16081,1
81348,1
81428,1
81675,1
82592,1
82692,1
19004,1
19006,1
19866,1
79791,1
79979,1
34946,1
43605,1
38122,1
38892,1
73467,1
68084,1
68127,1
69587,1
73344,1
79697,1
79983,1
70412,1
70414,1
70431,1
70432,1
70434,1
75245,1
79616,1
81247,1
17080,1
17919,1
20795,1
16200,1
66920,1
68501,1
