ladung_freigeldId,ladungId,freigeld_fl,freigeld_s,freigeld_d
5,64294,1,4,24
6,64295,3,,
7,64569,3,,
9,70221,1,5,10
10,3,,,
11,72993,4,4,
12,73774,4,4,
13,74496,1,2,
14,74497,1,4,
15,75616,3,,
16,78727,,,12
17,78817,1,4,24
18,79047,1,4,
19,79208,1,2,
21,85214,1,4,24
22,85215,3,,
23,85613,,,12
24,86359,3,,
25,86362,3,,
26,86363,3,,
27,2859,3,,
28,2969,3,,
29,3833,1,4,
30,3834,1,4,
31,9530,1,5,10
32,11114,3,,
33,12749,1,4,24
34,12750,3,,
35,12805,3,,
36,12806,4,4,
113,109784,3,,
38,12807,3,,
39,12922,,,12
40,12984,3,,
41,61106,3,,
78,95839,3,,
48,18487,3,,
51,93166,1,5,10
52,19931,1,2,
53,105319,3,,
54,58302,3,,
55,58301,1,4,24
56,58276,,,12
57,106363,1,2,
58,29045,,,12
59,108776,,,12
60,108819,1,4,
61,109229,3,,
62,109783,4,4,
63,26210,1,5,10
64,99399,1,4,24
65,102392,4,4,
79,114971,3,,
67,96388,1,4,
68,46017,1,4,
69,41559,1,4,
70,34189,1,4,
71,34407,3,,
72,101492,6,,
73,98963,4,4,
74,98961,3,,
75,98959,3,,
76,29283,3,,
77,29284,4,4,
80,28819,1,4,24
81,28821,3,,
82,29068,3,,
83,40275,3,,
84,56634,3,,
85,63305,6,,
169,109782,3,,
87,108404,3,,
88,124116,2,4,
89,124246,3,,
91,131980,12,,
92,132224,3,,
93,132225,3,,
94,132234,1,4,24
95,132235,3,,
96,132747,3,,
97,134719,1,5,10
98,137389,3,,
99,137827,,,12
100,138022,1,4,24
101,138206,3,,
102,138394,4,4,
103,138395,3,,
104,138396,3,,
105,138486,1,3,4
106,140350,1,5,10
107,114740,1,2,
108,140563,1,4,
109,140564,1,2,
110,34426,1,4,24
111,34002,4,4,
112,58422,4,4,
114,144113,1,5,10
115,146888,3,,
116,150155,,,12
117,151912,1,4,24
118,151913,3,,
119,152305,3,,
120,152306,3,,
121,152336,1,4,
122,156651,1,5,10
123,159252,1,4,24
124,159253,3,,
125,159298,,,12
126,159606,3,,
127,159607,3,,
128,159608,3,,
129,159724,3,,
130,162160,3,,
131,162452,,,12
132,162477,3,,
133,162478,4,4,
134,162775,1,2,
135,162776,1,4,
136,162808,1,4,24
137,163301,6,,
138,170891,,,12
139,172235,3,,
140,172407,4,4,
141,172460,3,,
142,172461,3,,
143,172690,1,4,
144,172691,1,4,
145,173120,1,4,24
146,173294,13,,16
147,173330,3,,
148,176716,3,,
149,182778,1,2,
150,182982,6,,
151,193145,1,5,10
152,194201,1,4,12
153,194274,3,,
154,194273,3,,
157,194508,6,,
156,194507,3,,
158,194509,6,,
159,194716,6,,
160,194735,3,,
161,194886,,,12
262,198327,3,,
163,198236,1,4,
164,73773,3,,
165,79134,1,5,10
277,193553,3,,
168,106817,1,5,10
171,26160,1,5,10
172,31975,,,12
173,31979,3,,
174,34003,3,,
175,34004,3,,
176,34188,1,2,
274,239093,1,2,
178,217206,3,,
179,217223,3,,
180,218098,3,,
181,218099,3,,
182,222050,1,5,10
183,97586,3,,
184,97634,,,12
192,235080,6,,
186,228856,3,,
187,232739,3,,
188,232740,3,,
190,233053,1,2,
191,233056,1,2,
195,34358,6,,
196,238167,4,4,
263,241833,3,,
199,238350,4,4,
200,230199,3,,
201,46018,1,2,
202,239260,4,4,
203,239906,3,,
205,241681,,,12
206,241831,1,4,24
210,243050,3,,
212,243053,4,4,
213,243051,3,,
214,243054,3,,
215,54313,1,5,10
216,199083,3,,
255,203121,1,4,
218,238349,3,,
261,198243,2,4,
220,58420,3,,
221,58421,3,,
224,246219,3,,
225,41437,1,2,
226,52314,1,5,10
227,57357,3,,
228,248988,1,5,10
229,252626,3,,
230,255972,4,4,
231,63018,3,,
232,257606,3,,
233,257691,3,,
234,257725,3,,
235,257730,3,,
236,257847,3,,
237,258234,,,12
238,258236,1,4,24
239,258653,1,4,
240,258654,1,4,
241,258747,3,,
242,259881,3,,
243,162165,3,,
244,263519,1,4,
245,263520,1,2,
246,263558,4,4,
247,263838,1,5,10
248,263846,,,12
249,122467,3,,
250,122468,1,4,24
251,263864,3,,
252,263865,1,4,
253,105318,3,,
254,130415,1,5,10
256,203122,1,2,
257,237291,3,,
258,237290,1,4,24
259,238193,,,12
260,238306,3,,
264,242253,1,5,10
265,255970,3,,
266,217900,1,4,
267,226544,1,5,10
268,229055,,,24
269,232568,3,,
270,232741,3,,
271,242509,3,,
272,245440,4,4,
273,212999,1,5,10
275,239094,1,4,
276,239229,1,4,24
