personenId,jude
59,1
96,1
140,1
233,1
474,1
867,1
913,1
1674,1
38908,1
2402,1
2566,1
2832,1
17914,1
3092,1
3167,1
3211,1
3213,1
3332,1
3673,1
20418,1
4341,1
5017,1
5092,1
5313,1
5551,1
5771,1
5772,1
5854,1
5930,1
6185,1
6335,1
23161,1
6414,1
6515,1
11862,1
23340,1
6622,1
6645,1
6667,1
6920,1
7088,1
7089,1
7134,1
7182,1
7304,1
7564,1
7613,1
7614,1
7615,1
24402,1
7719,1
7802,1
7914,1
14957,1
13283,1
8208,1
8293,1
16124,1
8588,1
8717,1
8846,1
8865,1
15327,1
9202,1
9472,1
9659,1
9685,1
9849,1
9850,1
9851,1
9876,1
9877,1
9963,1
10089,1
10138,1
10183,1
10342,1
10537,1
10538,1
10539,1
10808,1
10834,1
10868,1
10989,1
10992,1
11581,1
11897,1
11923,1
11924,1
12325,1
12732,1
12826,1
13284,1
38415,1
29136,1
13696,1
39751,1
14031,1
14390,1
14894,1
15037,1
15326,1
15105,1
15636,1
15931,1
16117,1
16209,1
16230,1
16345,1
16445,1
20825,1
22935,1
17154,1
17339,1
17459,1
17530,1
17562,1
17564,1
17768,1
20625,1
18095,1
18296,1
18306,1
18341,1
18503,1
18606,1
18657,1
18844,1
19075,1
23011,1
19235,1
19673,1
20034,1
20079,1
20422,1
26265,1
20551,1
20569,1
20656,1
21143,1
21249,1
21443,1
21529,1
21664,1
21689,1
21758,1
21763,1
22053,1
22531,1
22532,1
22824,1
22825,1
22936,1
22937,1
32705,1
23268,1
24099,1
24291,1
25631,1
26046,1
26190,1
26191,1
26196,1
26450,1
26890,1
26607,1
26809,1
26849,1
26908,1
26975,1
27004,1
27006,1
27250,1
27432,1
27462,1
27466,1
27473,1
28123,1
28124,1
28458,1
28793,1
28812,1
28813,1
28889,1
28990,1
29021,1
29034,1
29060,1
29213,1
29232,1
29349,1
29350,1
29351,1
29422,1
29568,1
29734,1
29735,1
29737,1
29739,1
29968,1
30040,1
30074,1
30075,1
30076,1
30077,1
30078,1
30079,1
30080,1
30081,1
30082,1
30083,1
30096,1
30103,1
30104,1
30105,1
30106,1
30107,1
30108,1
30109,1
30119,1
30149,1
30150,1
30522,1
30523,1
31140,1
31154,1
31322,1
31793,1
31863,1
31987,1
32079,1
32086,1
32194,1
32276,1
32322,1
32363,1
32550,1
32657,1
32889,1
32895,1
32949,1
32960,1
32961,1
32966,1
32968,1
33034,1
33070,1
33109,1
33364,1
33383,1
33545,1
33972,1
33620,1
33817,1
33879,1
33891,1
33938,1
34309,1
34415,1
34457,1
34464,1
34564,1
34646,1
34647,1
34698,1
34763,1
34798,1
34874,1
35280,1
39593,1
35344,1
35870,1
35922,1
36811,1
36880,1
36890,1
37333,1
37483,1
37653,1
37692,1
38283,1
38416,1
38579,1
38580,1
38886,1
38909,1
38986,1
39120,1
39281,1
39282,1
39406,1
39411,1
39415,1
39701,1
