regionId,region
1,"Niederösterreich, Erzherzogtum"
2,"Bayern, Herzogtum"
3,"Ulm, Reichsstadt"
4,"Nürnberg, Reichsstadt"
5,"Tirol, Grafschaft"
6,"Oberösterreich, Erzherzogtum"
34,"Salzburg, Erzstift"
35,"Ungarn, Königreich"
37,"Sachsen, Kurfürstentum"
38,"Passau, Hochstift"
39,"Berchtesgaden, Fürstpropstei"
40,"Niedermünster, Reichsstift"
41,"Augsburg, Hochstift"
42,"Pfalz-Neuburg, Herzogtum"
43,"Freising, Hochstift"
127,"Frankfurt, Reichsstadt"
45,"Ortenburg, Grafschaft"
46,"Eichstätt, Hochstift"
53,"Steiermark, Herzogtum"
48,Sachsen-Gotha
49,"Frankreich, Königreich"
129,"Speyer, Hochstift"
51,"Oettingen, Grafschaft"
145,"Patrimonium Petri, Kirchenstaat"
54,"Serbien, Königreich (1718-1739)"
55,Österreichische Niederlande
56,"Würzburg, Hochstift"
58,"Braunschweig-Lüneburg, Herzogtum"
59,"Polen, Königreich"
137,"Mailand, Herzogtum"
61,Vorderösterreich (Vorlande)
62,"Ochsenhausen, Reichsabtei"
64,"Mainz, Erzstift"
65,"Mähren, Markgrafschaft"
66,"Schlesien, Herzogtum"
69,"Brandenburg-Bayreuth, Markgrafschaft"
70,"Kempten, Fürststift"
71,"Kurpfalz, Pfalzgrafschaft"
114,"Lüttich, Hochstift"
73,"Portugal, Königreich"
74,Türkei
75,"Temeswarer Banat, Kron- und Kammerdomäne (1718-78)"
76,"Württemberg, Herzogtum"
78,"Siebenbürgen, Fürstentum"
79,"Sizilien, Königreich"
81,"Schweiz, Eidgenossenschaft"
82,"Böhmen, Königreich"
83,"Spanien, Königreich"
84,"Brandenburg-Ansbach, Markgrafschaft"
85,Sachsen
86,Breisgau
87,"Genua, Republik"
88,"Vereinigte Niederlande, Republik"
132,"Toskana, Großherzogtum"
90,"Bamberg, Hochstift"
91,"Lombardei, Landschaft"
92,"Ostfriesland, Grafschaft"
93,"Regensburg, Hochstift"
94,"Lothringen, Herzogtum"
95,"Straßburg, Reichsstadt (ab 1681 Realunion mit Fran"
96,"Ulm, Kommende des Deutschen Ordens"
97,Italien
98,Osmanisches Reich
99,"Straßburg, Hochstift"
100,"Baden-Durlach, Markgrafschaft"
101,Kroatien
103,"Triest, Freie Stadt"
104,"Breitenegg, Reichsgrafschaft"
105,"Dänemark, Königreich"
106,Waldburg
107,"Savoyen, Herzogtum"
109,"Hessen-Darmstadt, Landgrafschaft"
110,"Hessen-Kassel, Landgrafschaft"
112,Österreich
115,"Marchtal, Reichsstift"
123,"Sachsen-Coburg, Herzogtum"
117,Hessen
118,"Münster, Hochstift"
119,"Walachei, Fürstentum"
168,"Rothenfels-Staufen, Reichsgrafschaft"
121,Belgrader Banat
122,"Regensburg, Reichsstadt"
128,Russland
126,"Parma, Herzogtum"
124,"Bremen, Herzogtum oder Reichsstadt"
125,"Brixen, Hochstift"
130,"Hamburg, Reichsstadt"
131,"England, Landesteil (seit 1707, davor Königreich)"
167,"Speyer, Reichsstadt"
134,"Neapel, Königreich"
135,"Lucca, Republik"
138,"Mantua, Herzogtum"
139,"Mergentheim, Meistertum des Deutschen Ordens"
140,"Fürstenberg-Meßkirch, Fürstentum"
142,Ritterschaftliche Ortsherrschaft (Schwaben)
143,Militärgrenze
144,"Buxheim, Reichskartause"
146,"Schwäbisch Gmünd, Reichsstadt"
147,"Memmingen, Reichsstadt"
148,"Augsburg, Reichsstadt"
154,"Indelhausen, Herrschaft (Speth zu Schülzburg)"
150,"Kempten, Reichsstadt"
151,"Dinkelsbühl, Reichsstadt"
152,"Elchingen, Reichsstift/Ulm, Reichsstadt "
153,"Nördlingen, Reichsstadt"
155,"Illereichen, Herrschaft (Limburg-Styrum)"
156,"Heimertingen, Herrschaft (Fugger-Babenhausen)"
157,"Fellheim, Herrschaft (Reichlin von Meldegg)"
158,"Lautlingen, Herrschaft (Schenk von Stauffenberg)"
159,"Jettingen, Herrschaft (Stain zu Ronsberg)"
160,"Dellmensingen, Herrschaft (Werdenstein)"
161,"Gammertingen, Herrschaft (Speth)"
162,"Heggbach, Reichsabtei"
163,"Diemantstein, Herrschaft (Diemantstein, Elster)"
164,"Kellmünz, Herrschaft (Rechberg)"
165,"Pleß, Herrschaft (Fugger-Babenhausen, Buxheim)"
166,"Marstetten, Herrschaft (Waldburg-Zeil-Wurzach)"
169,"Niederstotzingen, Reichsritterschaftlicher Ort"
170,"Trient, Hochstift"
171,"Weißenburg, Reichsstadt"
172,"Wied-Neuwied, Grafschaft"
